Date,Name,Ticker,Held,Amount,Price,CAP,Current,Column 1,Budgets,,,,To Buy,,,,,,
 1 - Dec - 24,Solana,SOL,SOL,700,,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Sui,SUI,SUI,1500,,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Suipad,SUIP,SUI,100,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Sundog,SUNDOG,Coinex,100,,,,Y,Principal recovered,,,,,,,,,,
 1 - Dec - 24,Superchamp,CHAMP,Base T,250,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Superverse,SUPER,Coinex,100,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Supra labs,SUPRA,ByBit,0,,,400,Y,,,,,,,,,,,
 1 - Dec - 24,TarsAi,TAI,SOL,200,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Ton,TON,BSC,250,,LCAP,,Y,,,,,,,,,,,
 1 - Dec - 24,Toncoin,TON,Telegram wallet,450,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Tron,TRX,BNB,0,,LCAP,240,Y,,,,,,,,,,,
 1 - Dec - 24,Trump,MAGA,Coinex,100,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Turbo,TURBO,Coinex,100,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Undergraduate,UGG,SOL,250,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Uniswap,UNI,ARB,250,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Vanarchain,VANRY,Coinex,400,,,,Y,,,,,,,,,,,
 1 - Dec - 24,X empire,X,Telegram wallet,250,,,,,,,,,,,,,,,
 1 - Dec - 24,Zircuit,ZRC,Coinex,0,,,to buy,,,,,,,,,,,,
 1 - Dec - 24,Dogecoin,DOGE,BSC,410,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Wormhole,W,SOL,100,,,,Y,,,,,,,,,,,
 1 - Dec - 24,Laika AI,LKI,BSC,109,,,,Y,,,,,,,,,,,
